ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
˩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,extra low tone
˨,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,low tone
˧,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mid tone
˦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,high tone
˥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,extra high tone
˩ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
˨ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,
˧ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
˦ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,
˥ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,
q,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,voiceless uvular stop
ɢ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,voiced uvular stop
qː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,geminate voiceless uvular stop
ɢː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,geminate voiced uvular stop
ʈ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,voiceless retroflex stop
ɖ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced retroflex stop
ʈː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,geminate voiceless retroflex stop
ɖː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,geminate voiced retroflex stop
ʈ̻,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,voiceless laminal retroflex stop
ɖ̻,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,voiced laminal retroflex stop
t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiceless alveolar stop
d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced alveolar stop
tː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,geminate voiceless alveolar stop
dː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,geminate voiced alveolar stop
t̪,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪ː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d̪ː,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
p,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiceless bilabial stop
b,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiced bilabial stop
pː,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
bː,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
p͡t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
b͡d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
p͡tː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,
b͡dː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,
t̪̼,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,
d̪̼,-,-,+,-,-,-,-,-,+,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,
qˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɢˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
qˤː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ɢˤː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ʈˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɖˤ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ʈˤː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,
ɖˤː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,
tˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
dˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
tˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
dˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
t̪ˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
d̪ˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
t̪ˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,+,-,-,
d̪ˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,+,-,-,
pˤ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
bˤ,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
pˤː,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,
bˤː,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,
p͡tˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,
b͡dˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,
p͡tˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,+,-,-,
b͡dˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,+,-,-,-,-,+,-,-,
c,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɟ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
cː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɟː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
cᶣ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
ɡᶣ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
k,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,voiceless velar stop
ɡ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,voiced velar stop
kː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ɡː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
cʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ɡʷˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
cʷː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ɡʷː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ǂ̺,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,
ʈʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɖʲ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ʈːʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,
ɖːʲ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,
ʈᶣ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
ɖᶣ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
ʈˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɖˠ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ʈːˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,+,-,-,
ɖːˠ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,+,-,-,
ʈʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɖʷˠ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ʈʷː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
ɖʷː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
ǂ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǂː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,+,-,-,
ǂʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǂːʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,+,-,-,
ǂᶣ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,
ǂˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,+,-,-,-,-,
ǂːˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,+,-,+,-,-,
ǂʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,+,-,-,-,-,
ǂʷː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,+,-,+,-,-,
ǃ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,
ǃː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,+,-,-,
tʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
ǃʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,
dʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
ǃːʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,+,-,-,
tːʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,+,-,-,
dːʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,+,-,-,
ǃᶣ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,
tᶣ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
dᶣ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
ǃˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-,+,-,-,-,-,
tˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
dˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
ǃːˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-,+,-,+,-,-,
tːˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,-,
dːˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,-,
ǃʷˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,+,-,-,-,-,
tʷˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
dʷˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
ǃʷː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,
tʷː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
dʷː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
ǀ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǀː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,+,-,-,
t̪ʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
ǀʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,
d̪ʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
ǀːʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,+,-,-,
t̪ːʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,
d̪ːʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,
ǀᶣ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,+,-,-,-,-,
t̪ᶣ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
d̪ᶣ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
ǀˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,+,-,-,-,-,
t̪ˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
d̪ˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
ǀːˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,+,-,+,-,-,
t̪ːˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,+,-,-,
d̪ːˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,-,-,-,+,-,-,
ǀʷˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,+,-,-,-,-,
t̪ʷˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
d̪ʷˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
ǀʷː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,+,-,+,-,-,
t̪ʷː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
d̪ʷː,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
ʘ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,
k͡p,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɡ͡b,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ʘː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,-,-,
k͡pː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,
ɡ͡bː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,
ʘʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,
k͡pʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɡ͡bʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ʘːʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,-,-,
k͡pːʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,
ɡ͡bːʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,
k͡pˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,
ʘˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,-,-,-,-,
ɡ͡bˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,
k͡pːˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,
ʘːˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,-,+,-,-,
ɡ͡bːˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,
ʘʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,
k͡pʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɡ͡bʷˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
ʘʷː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,+,-,-,
k͡pʷː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,+,-,-,
ɡ͡bʷː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,-,+,-,-,
pʲ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
bʲ,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
pːʲ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,
bːʲ,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,
pˠ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
bˠ,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
pːˠ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,
bːˠ,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,
pʷˠ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
bʷˠ,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
pʷː,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
bʷː,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
ǃ̼,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,+,-,-,-,-,
p͡tʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,
b͡dʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,
p͡tːʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,+,-,-,
b͡dːʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,+,-,-,-,-,-,-,+,-,-,
p͡tˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,-,-,-,
b͡dˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,+,-,+,-,-,-,-,-,-,-,
p͡tːˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,+,-,-,
b͡dːˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,+,-,+,-,-,-,-,+,-,-,
p͡tʷˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,-,+,-,-,-,-,-,
b͡dʷˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,+,-,+,-,+,-,-,-,-,-,
p͡tʷː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,-,+,-,-,+,-,-,
b͡dʷː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,+,-,+,-,+,-,-,+,-,-,
ǀ̼,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,
cˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ɡˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
cˤː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,
ɡˤː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,
cʷˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ɡʷˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ʈʷˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
ɖʷˤ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
ǂˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,-,-,-,
ǂˤː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,+,-,-,
ǂʷˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,+,+,-,-,-,-,
ǃˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,-,-,+,-,-,-,-,
ǃˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,-,-,+,-,+,-,-,
ǃʷˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,-,+,+,-,-,-,-,
tʷˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
dʷˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
ǀˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,+,+,-,-,+,-,-,-,-,
ǀˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,+,+,-,-,+,-,+,-,-,
ǀʷˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,+,+,-,+,+,-,-,-,-,
t̪ʷˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
d̪ʷˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
ʘˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,-,-,-,
k͡pˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,
ɡ͡bˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,
ʘˤː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,+,-,-,
k͡pˤː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,
ɡ͡bˤː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,
k͡pʷˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,
ʘʷˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,-,-,-,-,
ɡ͡bʷˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,
pʷˤ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
bʷˤ,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
p͡tʷˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,+,+,-,+,-,-,-,-,-,
b͡dʷˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,+,+,+,-,+,-,-,-,-,-,
qˀ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ʛ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
qʼː,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɢ̰ː,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ʈˀ,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɖ̰,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʈʼː,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
